ID_Cliente,Nombre,Ciudad,Edad,Email,Membresia,Num_Compras,Total_Gastado
97,Jorge Z.,Puebla,25.0,,Plata,4,1610.42
23,Maria D.,Guadalajara,18.0,maria.d23@correo.com,Bronce,0,1303.73
114,Andres X.,Monterrey,54.0,andres.x114@correo.com,Oro,11,5077.4
139,Paola X.,Toluca,18.0,paola.x139@correo.com,Plata,1,2916.96
162,Renata F.,Toluca,26.0,renata.f162@correo.com,Oro,14,4671.16
112,Hector X.,Monterrey,61.0,hector.x112@correo.com,Plata,9,2116.81
3,Renata E.,Queretaro,22.0,renata.e3@correo.com,Oro,6,5278.9
103,Karla H.,Toluca,63.0,karla.h103@correo.com,Oro,9,4713.38
25,Hector K.,Guadalajara,,hector.k25@correo.com,Bronce,3,875.31
61,Emilio R.,Puebla,20.0,emilio.r61@correo.com,Bronce,2,1167.22
110,Pablo T.,Queretaro,55.0,pablo.t110@correo.com,Bronce,0,1222.94
115,Camila D.,Toluca,57.0,camila.d115@correo.com,Bronce,1,924.84
159,Camila Y.,CDMX,35.0,camila.y159@correo.com,Plata,5,2065.86
205,Andres P.,CDMX,54.0,andres.p205@correo.com,Bronce,2,880.91
71,Hector I.,Queretaro,19.0,hector.i71@correo.com,Bronce,1,685.17
109,Andres C.,Queretaro,49.0,andres.c109@correo.com,Plata,9,1877.38
195,Emilio N.,CDMX,24.0,,Oro,14,3768.55
130,Miguel G.,Monterrey,47.0,miguel.g130@correo.com,Plata,8,2883.08
158,Sergio D.,Puebla,26.0,sergio.d158@correo.com,Bronce,2,877.85
4,Valentina I.,Queretaro,61.0,valentina.i4@correo.com,Bronce,0,1038.78
199,Paola N.,CDMX,62.0,paola.n199@correo.com,Plata,9,1973.54
51,Ximena J.,Toluca,18.0,ximena.j51@correo.com,Bronce,7,976.47
183,Camila V.,Queretaro,30.0,camila.v183@correo.com,Bronce,2,961.35
248,Valentina J.,Guadalajara,34.0,valentina.j248@correo.com,Bronce,1,393.8
121,Valentina I.,Monterrey,39.0,valentina.i121@correo.com,Plata,10,1872.15
