ID,Cliente,Producto,Region,Edad,Precio,Fecha,Ventas
8714,Alejandro Diaz,Silla,Norte ,48,920.36,2025-12-01,1724.72
6232,Carlos Ramirez,Monitor,Centro,33,$842.61,Marzo 2 2025,685.67
6208,Alejandro Diaz,Monitor,NORTE,30,sin dato,2024-09-11,1413.56
1264,Camila Reyes,Teclado,Norte,48,478.63,07-01-2024,1549.1
2129,Diego Romero,Mouse,,30,$795.32,2024-12-19,1886.58
7536,Valeria Mendoza,LAPTOP,Norte,51,$-454.28,Noviembre 26 2025,1474.7
5362,Jose Martinez,Camara,sur,360,1006.99,18/03/2026,1402.18
2779,Daniela Cruz, Monitor,Centro,33,$855.42,32/13/2026,1401.9
6590,Laura Sanchez,Tablet,Sur,49,907.75,Febrero 22 2026,1316.37
9700,Daniela Cruz,Laptop,Sur,42,$659.89,32/13/2026,1280.77
3688,Jorge Morales,Tablet,occidente,41,882.12,2025-10-11,1071.81
5605,Sofia Torres,Escritorio,Occidente,35,790.21,2026-05-18,1180.64
2953,Ana Garcia,Camara, Occidente,40,780.55,2026-01-21,831.26
5410,Valeria Mendoza, Mouse,Occidente,24,960.68,02-24-2024,1691.68
1091,Luis Hernandez,Monitor,norte,21,754.76,Octubre 25 2024,1468.46
5502,Isabel Guzman,Silla,Centro,20,458.16,02/11/2025,1043.32
2889,Miguel Flores, Escritorio,Occidente,55,$841.68,2025-07-17,1393.97
3269,Alejandro Diaz,Teclado,Centro,39,503.61,06/12/2024,1690.64
657,Maria Lopez,Laptop,Norte,70,549.88,2024-04-09,1203.97
3964,Paola Rios,Camara,NORTE,40,$195.45,Marzo 5 2024,1306.3
8857,Luis Hernandez,Teclado,Sur,30,sin dato,Marzo 18 2026,1690.45
4351,Pedro Aguilar,Tablet,occidente,23,578.38,2024-05-19,1578.03
763,Diego Romero,Silla,OCCIDENTE,50,"$1,676.62",11-03-2024,1236.92
6295,Jorge Morales,Mouse,,53,1147.80,Abril 26 2025,1248.87
609,Sofia Torres,MONITOR,Norte,10,1146.49,2026-01-07,1025.18
6255,Miguel Flores,Escritorio,Norte ,35,"$1,236.16",Octubre 28 2024,1454.78
7682,Laura Sanchez,Tablet,Norte,42,$811.21,32/13/2026,1715.7
6070,Daniela Cruz, Teclado,Norte,55,543.19,07-22-2024,1696.41
1244,Carlos Ramirez,Mouse,Occidente,21,"$1,249.93",03/04/2026,1517.36
8244,Pedro Aguilar,Laptop,Occidente,49,1016.41,2025-01-04,1824.47
8458,Miguel Flores,Mouse,Occidente,54,$705.06,2024-07-29,1254.46
4699,Diego Romero, Monitor, Norte,,$492.26,09/09/2025,1113.46
8775,Isabel Guzman,Laptop,sur,41,522.99,12/07/2024,797.64
9415,Jose Martinez,Teclado,Sur,61,"$1,047.31",Agosto 5 2025,1649.44
852,Pedro Aguilar,Escritorio,occidente,51,$669.93,04/10/2024,1327.54
6581,Valeria Mendoza,Monitor,Sur ,33,634.42,11-27-2025,1417.34
389,Maria Lopez,Monitor,Centro,40,$898.47,Agosto 17 2025,1874.07
2029,Valeria Mendoza,Laptop,Sur,20,$-509.53,2025-08-30,1706.43
3867,Andres Ortiz,Laptop,Centro ,39,$978.08,09-15-2024,2169.44
2574,Sofia Torres,Silla,norte,24,"$1,081.61",01-20-2024,1594.37
4523,Daniela Cruz, Impresora, Sur,50,1181.74,2026-06-12,1422.02
3993,Laura Sanchez,Tablet,Centro,58,"$1,450.32",21/06/2024,1894.15
7259,Fernanda Castro,Tablet,,27,658.75,04/10/2025,915.19
9131,Ana Garcia,Teclado,OCCIDENTE,45,624.11,03-19-2025,1226.07
883,Sofia Torres,TECLADO,NORTE,44,$815.77,03-01-2024,1779.27
8155,Daniela Cruz,Camara,centro,31,1240.09,30/08/2025,1944.1
1230,Ana Garcia,Bocina,NORTE,27,856.29,12-20-2025,1020.82
8493,Miguel Flores,Mouse,Occidente,41,$597.73,Mayo 22 2024,1534.38
